OBJECTID,STATION,COMMENTS,COUNTY,ABPair,Sta_Dir,Motorcycles,PassCars,Buses,SUTrucks,CTrucks,TOD,TotVol,StartDate,EndDate,TimeLabel,AllTrucks,IsPerm,PickupsPanelVans,XCOORD,YCOORD
524,B160005,RACETRACK RD-.10 MI E OF OLD CHAPEL RD,Prince George's County,2727226390,B160005_W,0,1341,6,16,7,AM,1529,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,23,,160,-76.74050506,38.99691929
525,B160020,LIVINGSTON RD-.30 MI N OF MD210,Prince George's County,2796226594,B160020_S,2,848,7,21,1,AM,980,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,22,,103,-76.99404927,38.81345111
526,B0600,MD2-.10 MI N OF CALVERT CO/L,Anne Arundel County,4589345742,B0600_S,1,398,11,53,21,AM,699,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,74,,216,-76.60354701,38.72264836
527,B2918,MD650-.50 MI S OF MD198,Montgomery County,2337322525,B2918_S,1,1537,6,57,28,AM,1953,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,85,,325,-76.99272876,39.11477995
528,B1344,MD231-.40 MI E OF CHARLES CO/L,Calvert County,4908449081,B1344_W,0,740,5,48,24,AM,1084,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,72,,268,-76.66242599,38.51003192
529,B2725,US29-.20 MI N OF MD650,Montgomery County,2255023085,B2725_S,13,7736,93,238,40,AM,8792,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,278,,673,-76.98897401,39.04514296
530,B3108,US1-.10 MI N OF MD212,Prince George's County,2628726288,B3108_S,12,2926,56,143,21,AM,3529,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,164,,373,-76.90618508,39.03583152
531,B0686,MD177-.10 MI E OF MD648H (WATERFORD RD),Anne Arundel County,4577845689,B0686_W,1,1383,23,39,5,AM,1819,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,44,,370,-76.56123932,39.13114137
532,B060053,MD30BU-.10 MI N OF MD833 (OLD BLACKROCK RD),Carroll County,4810048104,B060053_S,3,1554,20,66,7,AM,1984,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,73,,336,-76.85172313,39.60882857
533,B080100,OLD WASHINGTON RD-.10 MI N OF MD5BU,Charles County,4722347054,B080100_S,2,362,12,40,11,AM,512,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,51,,86,-76.90724411,38.62571207
534,B1330,MD506-.30 MI E OF MD508,Calvert County,4905149052,B1330_W,1,209,1,13,5,AM,292,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,18,,65,-76.61704934,38.49403321
535,B160085,MD212-.10 MI N OF CHERRY HILL RD,Prince George's County,2725526263,B160085_S,10,3120,36,76,15,AM,3482,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,91,,226,-76.94686357,39.04110643
536,B1724,MD227-.10 MI N OF BRIARWOOD RD,Charles County,4717647071,B1724_W,1,130,3,6,1,AM,168,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,7,,28,-77.04605598,38.58643155
537,B2789,MD182-.50 MI S OF MD108,Montgomery County,2263022506,B2789_S,5,1498,12,67,18,AM,1841,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,85,,242,-77.03668852,39.14065696
538,B180014,MD4-.10 MI N OF MD235,St Mary's County,4960049521,B180014_S,13,2923,21,145,31,AM,3820,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,176,,688,-76.51907268,38.30499497
539,B0637,MD3BU-.10 MI N OF MD270,Anne Arundel County,4564645759,B0637_S,1,282,7,7,3,AM,325,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,10,,26,-76.61420801,39.18417361
540,B1318,MD262-.50 MI W OF MD4,Calvert County,4900549090,B1318_W,2,76,4,14,3,AM,137,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,17,,40,-76.615156,38.66062573
541,7082A,CONSTITUTION AVE NW between 20TH ST NW and 21ST ST NW,District of Columbia,2034621601,7082A_E,6,2219,9,33,18,AM,2481,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,51,,196,-77.04580687,38.89210111
542,3607A,BLADENSBURG RD NE between EVARTS ST NE and SOUTH DAKOTA AVE NE,District of Columbia,2117021169,3607A_N,6,625,63,47,1,AM,827,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,48,,86,-76.96561903,38.92480365
543,2211A,MILITARY RD NW between MISSOURI AVE NW and 14TH ST NW,District of Columbia,2064320849,2211A_E,4,1207,13,49,34,AM,1406,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,83,,101,-77.03271301,38.96194015
544,7157,MASSACHUSETTS AVE NW between WARD CIR NW and 45TH ST NW,District of Columbia,2155221943,7157_E,15,2226,25,85,64,AM,2542,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,149,,126,-77.08794078,38.93940142
545,7105,RIGGS RD NE between 1ST ST NE and 1ST PL NE,District of Columbia,2150121900,7105_E,10,1786,51,84,55,AM,2142,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,139,,156,-77.00547325,38.95558023
546,7087,CONNECTICUT AVE NW between ALBEMARLE ST NW and APPLETON ST NW,District of Columbia,2075120750,7087_N,4,1761,12,59,66,AM,1998,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,125,,96,-77.06594662,38.94835992
547,7076,14TH ST SW between INDEPENDENCE AVE SW and C ST SW,District of Columbia,2032620314,7076_N,7,5103,16,120,114,AM,5631,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,234,P,271,-77.03195445,38.88676742
548,7072,WISCONSIN AVE NW between FULTON ST NW and GARFIELD ST NW,District of Columbia,2069921557,7072_N,3,1628,17,32,4,AM,1792,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,36,,108,-77.07318786,38.92685564
549,190096,VA236 from 29-620 Braddock Rd to WCL Alexandria,Fairfax County,3404536185,190096_E,2,2923,37,35,7,AM,3432,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,42,P,428,-77.15034,38.81978
550,190159,"VA236 from SR 236 W, Main St to SR 236 E, Main St",City of Fairfax,3631034370,190159_E,4,1479,15,21,15,AM,1694,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,36,,160,-77.30682,38.84724
551,90364,VA237 from Colonial Ave to US 50 Arlington Blvd,City of Fairfax,3629834317,90364_E,2,2357,31,49,48,AM,2807,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,97,,321,-77.27109,38.85474
552,90005,VA287 from SR 9 Charles Town Pike to 53-693 Morrisonville Rd; Ash George Rd,Loudoun County,3822238223,90005_N,0,301,23,30,4,AM,536,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,34,,179,-77.66838,39.20766
553,90007,VA287 from NCL Purcellville to SR 9 Charles Town Pike,Loudoun County,3821838222,90007_N,0,250,20,20,4,AM,409,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,24,,116,-77.69028,39.16537
554,90025,VA287 from NCL Lovettsville to Maryland State Line,Loudoun County,3847142164,90025_N,2,297,2,5,3,AM,388,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,8,,80,-77.63277,39.3006
555,628010,VA338 from 110-6609 Annandale Rd to 110-6799 Cherry St,Falls Church,3442134419,628010_E,0,920,9,33,6,AM,1150,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,39,,184,-77.16935,38.87796
556,60148,US1 from 89-610 Garrisonville Rd to 89-639 Woodstock Lane,Stafford County,5103051029,60148_N,16,3416,24,48,13,AM,4454,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,61,P,937,-77.39426,38.47456
557,90170,"US1 from SR 235 S, Mount Vernon Memorial Hwy to SR 235 N, Mount Vernon Hwy",Fairfax County,3415534275,90170_N,1,2201,50,71,19,AM,2780,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,90,P,437,-77.1293,38.71886
558,160015,US1 from 88-608 Massaponax Church Rd to US 17 Poor House Rd,Spotsylvania County,5201652149,160015_N,2,1329,36,67,62,AM,1982,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,129,,486,-77.50761,38.2179
559,301522,Loyalty Rd from 53-698 E;  Old Waterford Rd to 53-662 N;  Clover Hill Rd,Loudoun County,3812138122,301522_N,0,78,7,6,1,AM,117,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,7,,27,-77.59935,39.19458
560,301524,Taylorstown Rd from 53-663 Downey Mill Rd to 53-672 W;  Lovettsville Rd,Loudoun County,3822538538,301524_N,1,47,1,1,1,AM,62,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,2,,12,-77.58554,39.26865
561,301525,Harpers Ferry Rd from SR 9 Charles Town Pike to 53-787 Kidwell Rd,Loudoun County,3840438575,301525_N,0,148,11,7,3,AM,217,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,10,,49,-77.73856,39.22771
