OBJECTID_1,Join_Count,nearest_metro_distance,TARGET_FID,OBJECTID,STATION,COMMENTS,COUNTY,ABPair,Sta_Dir,Motorcycles,PassCars,Buses,SUTrucks,CTrucks,TOD,TotVol,StartDate,EndDate,TimeLabel,AllTrucks,IsPerm,PickupsPanelVans,XCOORD,YCOORD,X,Y,OBJECTID_12,NAME,State,Jurisdiction,LINE,Year,Parking,Network_Node,WEB_URL
518,1,0.003755135443239,518,518,7076,14TH ST SW between INDEPENDENCE AVE SW and C ST SW,District of Columbia,2031420326.000000000000000,7076_S,7,1264,55,52,20,AM,1644,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,72,P,247,-77.031954450000001,38.886767419999998,-77.028388727437431,38.887944986028579,54,Smithsonian,District of Columbia,District of Columbia,"Blue, Orange, Silver",1977,,8070,https://www.wmata.com/rider-guide/stations/smithsonian.cfm?y=35
519,1,0.017147236866944,519,519,7072,WISCONSIN AVE NW between FULTON ST NW and GARFIELD ST NW,District of Columbia,2155720699.000000000000000,7072_S,2,2389,22,32,4,AM,2611,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,36,,162,-77.073187860000004,38.926855639999999,-77.058720694250965,38.936060467460855,85,Cleveland Park,District of Columbia,District of Columbia,Red,1981,,8011,https://www.wmata.com/rider-guide/stations/cleveland-park.cfm?y=35
520,1,0.006648984054986,520,520,2203,SOUTH CAPITOL ST between SUITLAND PKWY SE and DEFENSE BLVD SW,District of Columbia,2134021365.000000000000000,2203_S,4,1494,30,134,19,AM,1863,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,153,,183,-77.002162819999995,38.862550509999998,-76.995525248497827,38.862939902735008,78,Anacostia,District of Columbia,District of Columbia,Green,1991,Y,8040,https://www.wmata.com/rider-guide/stations/anacostia.cfm?y=35
521,1,0.205930207616815,521,521,301511,Gum Spring Rd from 53-620 Braddock Rd to US 50 John S. Mosby Hwy,Loudoun County,3839638105.000000000000000,301511_S,0,803,18,40,14,AM,1059,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,54,,184,-77.544529999999995,38.923229999999997,-77.340064608531364,38.947748447545877,91,Wiehle-Reston East,Virginia,Fairfax County,Silver,2014,Y,8091,https://www.wmata.com/rider-guide/stations/wiehle-reston.cfm?y=35
522,1,0.194023193421700,522,522,301513,Belmont Ridge Rd from 53-621 W;  Evergreen Mills Rd to 53-772 Ryan Rd,Loudoun County,3816438528.000000000000000,301513_S,1,1346,24,33,4,AM,1566,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,37,,160,-77.532950000000000,38.968730000000001,-77.340064608531364,38.947748447545877,91,Wiehle-Reston East,Virginia,Fairfax County,Silver,2014,Y,8091,https://www.wmata.com/rider-guide/stations/wiehle-reston.cfm?y=35
523,1,0.113563255119557,523,523,B160093,OLD LAUREL BOWIE RD-.10 MI S OF HILLTOP LA,Prince George's County,2639627432.000000000000000,B160093_S,0,185,4,14,6,AM,241,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,20,,33,-76.785395539999996,39.021322259999998,-76.872070929990301,38.947946585073552,17,New Carrollton,Maryland,Prince George's County,Orange,1978,Y,8080,https://www.wmata.com/rider-guide/stations/new-carrollton.cfm?y=35
524,1,0.140384842429179,524,524,B160005,RACETRACK RD-.10 MI E OF OLD CHAPEL RD,Prince George's County,2727226390.000000000000000,B160005_W,0,1341,6,16,7,AM,1529,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,23,,160,-76.740505060000004,38.996919290000001,-76.872070929990301,38.947946585073552,17,New Carrollton,Maryland,Prince George's County,Orange,1978,Y,8080,https://www.wmata.com/rider-guide/stations/new-carrollton.cfm?y=35
525,1,0.032440403426168,525,525,B160020,LIVINGSTON RD-.30 MI N OF MD210,Prince George's County,2796226594.000000000000000,B160020_S,2,848,7,21,1,AM,980,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,22,,103,-76.994049270000005,38.813451110000003,-76.988251657744868,38.845369246630177,70,Congress Heights,District of Columbia,District of Columbia,Green,2001,,8041,https://www.wmata.com/rider-guide/stations/congress-hghts.cfm?y=35
526,1,0.299595756410656,526,526,B0600,MD2-.10 MI N OF CALVERT CO/L,Anne Arundel County,4589345742.000000000000000,B0600_S,1,398,11,53,21,AM,699,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,74,,216,-76.603547010000000,38.722648360000001,-76.844556104162351,38.900615306138342,20,Largo Town Center,Maryland,Prince George's County,"Blue, Orange, Silver",2004,Y,8086,https://www.wmata.com/rider-guide/stations/largo-town-ctr.cfm?y=35
527,1,0.080743242415128,527,527,B2918,MD650-.50 MI S OF MD198,Montgomery County,2337322525.000000000000000,B2918_S,1,1537,6,57,28,AM,1953,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,85,,325,-76.992728760000006,39.114779949999999,-77.053636700500192,39.061773403854914,6,Glenmont,Maryland,Montgomery County,Red,1998,Y,8026,https://www.wmata.com/rider-guide/stations/glenmont.cfm?y=35
528,1,0.403521352462205,528,528,B1344,MD231-.40 MI E OF CHARLES CO/L,Calvert County,4908449081.000000000000000,B1344_W,0,740,5,48,24,AM,1084,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,72,,268,-76.662425990000003,38.510031920000003,-76.912229442562861,38.826935243743002,73,Branch Ave,Maryland,Prince George's County,Green,2001,Y,8045,https://www.wmata.com/rider-guide/stations/branch-ave.cfm?y=35
529,1,0.061930701254429,529,529,B2725,US29-.20 MI N OF MD650,Montgomery County,2255023085.000000000000000,B2725_S,13,7736,93,238,40,AM,8792,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,278,,673,-76.988974010000007,39.045142960000000,-77.043344570622324,39.015490744532457,8,Forest Glen,Maryland,Montgomery County,Red,1990,Y,8024,https://www.wmata.com/rider-guide/stations/forest-glen.cfm?y=35
530,1,0.025139893759770,530,530,B3108,US1-.10 MI N OF MD212,Prince George's County,2628726288.000000000000000,B3108_S,12,2926,56,143,21,AM,3529,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,164,,373,-76.906185080000000,39.035831520000002,-76.911204781124638,39.011197866648395,31,Greenbelt,Maryland,Prince George's County,"Green, Yellow",1993,Y,8027,https://www.wmata.com/rider-guide/stations/greenbelt.cfm?y=35
531,1,0.360799970934561,531,531,B0686,MD177-.10 MI E OF MD648H (WATERFORD RD),Anne Arundel County,4577845689.000000000000000,B0686_W,1,1383,23,39,5,AM,1819,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,44,,370,-76.561239319999999,39.131141370000002,-76.872070929990301,38.947946585073552,17,New Carrollton,Maryland,Prince George's County,Orange,1978,Y,8080,https://www.wmata.com/rider-guide/stations/new-carrollton.cfm?y=35
532,1,0.580334058396375,532,532,B060053,MD30BU-.10 MI N OF MD833 (OLD BLACKROCK RD),Carroll County,4810048104.000000000000000,B060053_S,3,1554,20,66,7,AM,1984,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,73,,336,-76.851723129999996,39.608828570000000,-77.164499396013696,39.119994624307324,37,Shady Grove,Maryland,Montgomery County,Red,1984,Y,8001,https://www.wmata.com/rider-guide/stations/shady-grove.cfm?y=35
533,1,0.201284920696347,533,533,B080100,OLD WASHINGTON RD-.10 MI N OF MD5BU,Charles County,4722347054.000000000000000,B080100_S,2,362,12,40,11,AM,512,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,51,,86,-76.907244109999993,38.625712069999999,-76.912229442562861,38.826935243743002,73,Branch Ave,Maryland,Prince George's County,Green,2001,Y,8045,https://www.wmata.com/rider-guide/stations/branch-ave.cfm?y=35
534,1,0.444921405922903,534,534,B1330,MD506-.30 MI E OF MD508,Calvert County,4905149052.000000000000000,B1330_W,1,209,1,13,5,AM,292,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,18,,65,-76.617049339999994,38.494033209999998,-76.912229442562861,38.826935243743002,73,Branch Ave,Maryland,Prince George's County,Green,2001,Y,8045,https://www.wmata.com/rider-guide/stations/branch-ave.cfm?y=35
535,1,0.046541071900728,535,535,B160085,MD212-.10 MI N OF CHERRY HILL RD,Prince George's County,2725526263.000000000000000,B160085_S,10,3120,36,76,15,AM,3482,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,91,,226,-76.946863570000005,39.041106429999999,-76.911204781124638,39.011197866648395,31,Greenbelt,Maryland,Prince George's County,"Green, Yellow",1993,Y,8027,https://www.wmata.com/rider-guide/stations/greenbelt.cfm?y=35
536,1,0.209495771245381,536,536,B1724,MD227-.10 MI N OF BRIARWOOD RD,Charles County,4717647071.000000000000000,B1724_W,1,130,3,6,1,AM,168,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,7,,28,-77.046055980000006,38.586431550000000,-77.075367934421308,38.793866569740459,77,Huntington,Virginia,Fairfax County,Yellow,1983,Y,8048,https://www.wmata.com/rider-guide/stations/huntington.cfm?y=35
537,1,0.080683680173949,537,537,B2789,MD182-.50 MI S OF MD108,Montgomery County,2263022506.000000000000000,B2789_S,5,1498,12,67,18,AM,1841,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,85,,242,-77.036688519999998,39.140656960000001,-77.053636700500192,39.061773403854914,6,Glenmont,Maryland,Montgomery County,Red,1998,Y,8026,https://www.wmata.com/rider-guide/stations/glenmont.cfm?y=35
538,1,0.653447694858425,538,538,B180014,MD4-.10 MI N OF MD235,St Mary's County,4960049521.000000000000000,B180014_S,13,2923,21,145,31,AM,3820,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,176,,688,-76.519072679999994,38.304994970000003,-76.912229442562861,38.826935243743002,73,Branch Ave,Maryland,Prince George's County,Green,2001,Y,8045,https://www.wmata.com/rider-guide/stations/branch-ave.cfm?y=35
